B2Reft2,B3Reft3,B4Reft4,B5Reft5,B6Reft6,B7Reft7,Area,SoilTeam,LandClass,Phosphorus,Potassium,Boron,Calcium,Magnesium,Manganese
0.00,0.00,0.00,0.00,0.00,0.00,Badarganj,Loam,HL,0.0345,0.3,0.00028,0.77,0.46,0.1159
0.01,0.01,0.01,0.01,0.01,0.01,Badarganj,EthelLoam,HL,0.00475,0.17,0.00016,0.16,0.12,0.0655
0.01,0.01,0.01,0.01,0.01,0.01,Badarganj,EthelLoam,HL,0.0152,0.12,0.00015,0.54,0.12,0.0109
0.02,0.02,0.02,0.02,0.02,0.02,Badarganj,Loam,HL,0.0179,0.15,0.00016,0.52,0.18,0.1162
0.03,0.03,0.03,0.03,0.03,0.03,Badarganj,EthelLoam,HL,0.00539,0.31,0.00016,0.56,0.25,0.1424
0.03,0.03,0.03,0.03,0.03,0.03,Badarganj,EthelLoam,HL,0.01588,0.13,0.00015,0.32,0.12,0.0808
0.04,0.04,0.04,0.04,0.04,0.04,Badarganj,Loam,HL,0.03082,0.22,0.00015,0.38,0.16,0.1235
0.05,0.05,0.05,0.05,0.05,0.05,Badarganj,EthelLoam,HL,0.02418,0.1,0.00015,0.4,0.15,0.098
0.05,0.05,0.05,0.05,0.05,0.05,Badarganj,Loam,HL,0.00804,0.13,0.00015,0.6,0.28,0.046
0.06,0.06,0.06,0.06,0.06,0.06,Badarganj,Loam,HL,0.00511,0.17,0.00015,0.17,0.1,0.109
0.07,0.07,0.07,0.07,0.07,0.07,Badarganj,EthelLoam,HL,0.03347,0.11,0.00015,0.72,0.2,0.076
0.08,0.08,0.08,0.08,0.08,0.08,Badarganj,EthelLoam,HL,0.03724,0.17,0.00015,0.84,0.2,0.0576
0.08,0.08,0.08,0.08,0.08,0.08,Badarganj,Loam,HL,0.0093,0.17,0.00016,0.35,0.16,0.1042
0.09,0.09,0.09,0.09,0.09,0.09,Badarganj,EthelLoam,HL,0.01351,0.2,0.00015,1.03,0.38,0.0837
0.10,0.10,0.10,0.10,0.10,0.10,Badarganj,Loam,HL,0.00746,0.14,0.0002,0.57,0.1,0.0498
0.10,0.10,0.10,0.10,0.10,0.10,Badarganj,Ethel,HL,0.01011,0.2,0.0002,0.41,0.26,0.1258
