B2Reft2,B3Reft3,B4Reft4,B5Reft5,B6Reft6,B7Reft7,Area,SoilTeam,LandClass,Phosphorus,Potassium,Boron,Calcium,Magnesium,Manganese
0,0,0,0,0,0,Badarganj,Kashimpur,HL,0.0345,0.3,0.00028,0.77,0.46,0.1159
0.02,0.02,0.02,0,0,0,Badarganj,Kashimpur,HL,0.00475,0.17,0.00016,0.16,0.12,0.0655
0.05,0.04,0.03,0,0.01,0,Badarganj,Belab,HL,0.0152,0.12,0.00015,0.54,0.12,0.0109
0.07,0.05,0.05,0,0.01,0,Badarganj,Belab,HL,0.0179,0.15,0.00016,0.52,0.18,0.1162
0.1,0.07,0.06,0,0.02,0.01,Badarganj,Belab,HL,0.00539,0.31,0.00016,0.56,0.25,0.1424
0.12,0.09,0.08,0.01,0.02,0.01,Badarganj,Belab,HL,0.01588,0.13,0.00015,0.32,0.12,0.0808
0.14,0.11,0.1,0.01,0.03,0.01,Badarganj,Belab,HL,0.03082,0.22,0.00015,0.38,0.16,0.1235
0.17,0.13,0.11,0.01,0.03,0.01,Badarganj,Belab,HL,0.02418,0.1,0.00015,0.4,0.15,0.098
0.19,0.15,0.13,0.01,0.04,0.01,Badarganj,Belab,HL,0.00804,0.13,0.00015,0.6,0.28,0.046
0.22,0.16,0.15,0.01,0.04,0.01,Badarganj,Belab,HL,0.00511,0.17,0.00015,0.17,0.1,0.109
0.24,0.18,0.16,0.01,0.05,0.02,Badarganj,Belab,HL,0.03347,0.11,0.00015,0.72,0.2,0.076
0.26,0.2,0.18,0.01,0.05,0.02,Badarganj,Belab,HL,0.03724,0.17,0.00015,0.84,0.2,0.0576
0.29,0.22,0.19,0.01,0.06,0.02,Badarganj,Belab,HL,0.0093,0.17,0.00016,0.35,0.16,0.1042
0.31,0.24,0.21,0.01,0.06,0.02,Badarganj,Belab,HL,0.01351,0.2,0.00015,1.03,0.38,0.0837
0.33,0.25,0.23,0.01,0.07,0.02,Badarganj,Belab,HL,0.00746,0.14,0.0002,0.57,0.1,0.0498
0.36,0.27,0.24,0.02,0.07,0.02,Badarganj,Belab,HL,0.01011,0.2,0.0002,0.41,0.26,0.1258
0.38,0.29,0.26,0.02,0.08,0.02,Badarganj,Nijhuri,MEL,0.01758,0.11,0.00016,0.78,0.25,0.0581
0.41,0.31,0.27,0.02,0.08,0.03,Badarganj,Nijhuri,MEL,0.01884,0.1,0.00015,0.81,0.26,0.0131
0.43,0.33,0.29,0.02,0.09,0.03,Badarganj,Nijhuri,MEL,0.01176,0.1,0.00015,1.13,0.23,0.0138
0.45,0.34,0.31,0.02,0.09,0.03,Badarganj,Nijhuri,MEL,0.00506,0.08,0.00015,1.04,0.22,0.0131
0.48,0.36,0.32,0.02,0.1,0.03,Badarganj,Nijhuri,MEL,0.01792,0.11,0.0002,0.25,0.1,0.0142
0.5,0.38,0.34,0.02,0.1,0.03,Badarganj,Nijhuri,MEL,0.00536,0.07,0.00015,0.96,0.21,0.0129
0.53,0.4,0.36,0.02,0.11,0.03,Badarganj,Nijhuri,MEL,0.00543,0.08,0.00015,0.96,0.29,0.0218
0.55,0.42,0.37,0.02,0.11,0.03,Badarganj,Nijhuri,MEL,0.00317,0.09,0.00028,1.07,0.28,0.0124
0.57,0.44,0.39,0.03,0.12,0.04,Badarganj,Nijhuri,MEL,0.0042,0.09,0.00016,0.81,0.26,0.0185
0.6,0.45,0.4,0.03,0.12,0.04,Badarganj,Nijhuri,MEL,0.007,0.1,0.00016,0.67,0.22,0.0148
0.62,0.47,0.42,0.03,0.12,0.04,Badarganj,Nijhuri,MEL,0.00716,0.17,0.00016,0.97,0.54,0.0333
0.65,0.49,0.44,0.03,0.13,0.04,Badarganj,Nijhuri,MEL,0.00959,0.13,0.0002,0.87,0.43,0.134
0.67,0.51,0.45,0.03,0.13,0.04,Badarganj,Lawta,MEL,0.00877,0.12,0.00025,0.48,0.12,0.0227
0.69,0.53,0.47,0.03,0.14,0.04,Badarganj,Lawta,MEL,0.00572,0.08,0.00029,0.55,0.24,0.0217
0.72,0.54,0.48,0.03,0.14,0.05,Badarganj,Lawta,MEL,0.00667,0.1,0.00025,0.57,0.25,0.0113
0.74,0.56,0.5,0.03,0.15,0.05,Badarganj,Lawta,MEL,0.00563,0.1,0.00025,0.53,0.23,0.015
0.77,0.58,0.52,0.03,0.15,0.05,Badarganj,Lawta,MEL,0.0057,0.12,0.00022,0.4,0.33,0.0289
0.79,0.6,0.53,0.03,0.16,0.05,Badarganj,Lawta,MEL,0.0093,0.12,0.00025,0.68,0.24,0.0131
0.81,0.62,0.55,0.04,0.16,0.05,Badarganj,Lawta,MEL,0.00618,0.13,0.00018,0.53,0.32,0.0227
0.84,0.63,0.56,0.04,0.17,0.05,Badarganj,Lawta,MEL,0.00972,0.11,0.00022,0.61,0.13,0.0145
0.86,0.65,0.58,0.04,0.17,0.05,Badarganj,Lawta,MEL,0.0057,0.1,0.00018,0.38,0.25,0.0214
0.89,0.67,0.6,0.04,0.18,0.06,Badarganj,Lawta,MEL,0.00687,0.12,0.00022,0.71,0.19,0.0203
0.91,0.69,0.61,0.04,0.18,0.06,Badarganj,Lawta,MEL,0.00053,0.13,0.00015,0.65,0.26,0.0142
0.93,0.71,0.63,0.04,0.19,0.06,Badarganj,Lawta,MEL,0.000632,0.08,0.00015,0.64,0.17,0.0111
0.96,0.73,0.65,0.04,0.19,0.06,Badarganj,Lawta,MEL,0.000752,0.07,0.00025,0.58,0.22,0.0054
0.98,0.74,0.66,0.04,0.2,0.06,Badarganj,Lawta,MEL,0.0066,0.8,0.00018,0.41,0.16,0.0174
1,0.76,0.68,0.04,0.2,0.06,Badarganj,Lawta,MEL,0.00357,0.11,0.00022,0.69,0.24,0.0118
0,0.78,0.69,0.05,0.21,0.07,Badarganj,Komola,MEL,0.000293,0.12,0.00025,0.59,0.33,0.0444
0.02,0.8,0.71,0.05,0.21,0.07,Badarganj,Khilgao,MEL,0.000388,0.11,0.0002,0.99,0.26,0.0142
0.05,0.82,0.73,0.05,0.22,0.07,Badarganj,Pirgachha,HL,0.000801,0.26,0.00025,0.25,0.14,0.0198
0.07,0.83,0.74,0.05,0.22,0.07,Badarganj,Pirgachha,HL,0.00071,0.31,0.00019,0.66,0.25,0.0219
0.1,0.85,0.76,0.05,0.23,0.07,Badarganj,Pirgachha,HL,0.000353,0.21,0.00022,0.85,0.36,0.0296
0.12,0.87,0.77,0.05,0.23,0.07,Badarganj,Pirgachha,HL,0.0001153,0.19,0.00025,0.5,0.24,0.0269
